class,precision,recall,f1,support
Tomato___Target_Spot,0.8076923076923077,0.9905660377358491,0.8898305084745762,212
Tomato___Early_blight,0.9761904761904762,0.82,0.8913043478260869,150
Tomato___Spider_mites Two-spotted_spider_mite,0.9525862068965517,0.876984126984127,0.9132231404958677,252
Potato___healthy,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.935064935064935,0.9230769230769231,0.9290322580645162,78
Corn_(maize)___Northern_Leaf_Blight,0.96,0.9664429530201343,0.9632107023411371,149
Tomato___Leaf_Mold,0.9655172413793104,0.9722222222222222,0.9688581314878892,144
Tomato___Septoria_leaf_spot,0.9960629921259843,0.947565543071161,0.9712092130518234,267
Tomato___healthy,0.9448818897637795,1.0,0.97165991902834,240
Tomato___Tomato_mosaic_virus,0.9821428571428571,0.9649122807017544,0.9734513274336283,57
Tomato___Late_blight,0.9625850340136054,0.9860627177700348,0.9741824440619621,287
Potato___Late_blight,0.9931506849315068,0.9666666666666667,0.9797297297297297,150
Tomato___Bacterial_spot,0.9637462235649547,0.996875,0.9800307219662059,320
Grape___Black_rot,0.9885714285714285,0.9774011299435028,0.9829545454545454,177
Grape___Esca_(Black_Measles),0.9856459330143541,0.9903846153846154,0.988009592326139,208
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.977639751552795,0.9886934673366834,805
Cherry_(including_sour)___healthy,0.9922480620155039,0.9922480620155039,0.9922480620155039,129
Potato___Early_blight,0.9933333333333333,0.9933333333333333,0.9933333333333333,150
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9878048780487805,1.0,0.9938650306748467,162
Apple___Apple_scab,1.0,0.9894736842105263,0.9947089947089947,95
"Pepper,_bell___healthy",1.0,0.9910313901345291,0.9954954954954955,223
Apple___healthy,0.9959677419354839,0.9959677419354839,0.9959677419354839,248
Soybean___healthy,0.9947848761408083,0.9986910994764397,0.9967341606792945,764
Strawberry___Leaf_scorch,1.0,0.9940119760479041,0.996996996996997,167
Blueberry___healthy,1.0,0.995575221238938,0.9977827050997783,226
Squash___Powdery_mildew,1.0,0.9963768115942029,0.9981851179673321,276
Peach___Bacterial_spot,0.9971181556195965,1.0,0.9985569985569985,346
Orange___Haunglongbing_(Citrus_greening),0.9987908101571947,0.9987908101571947,0.9987908101571947,827
Grape___healthy,1.0,1.0,1.0,64
Corn_(maize)___healthy,1.0,1.0,1.0,175
Apple___Cedar_apple_rust,1.0,1.0,1.0,42
Apple___Black_rot,1.0,1.0,1.0,94
Strawberry___healthy,1.0,1.0,1.0,69
Peach___healthy,1.0,1.0,1.0,55
"Pepper,_bell___Bacterial_spot",1.0,1.0,1.0,151
Raspberry___healthy,1.0,1.0,1.0,57
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,159
Corn_(maize)___Common_rust_,1.0,1.0,1.0,180
